course_id,course_name,course_skill,course_duration,course_url,course_description
COURSE076,Data Analysis with R,"SKILL035,SKILL111,SKILL005,SKILL008,SKILL045",12 hours,https://www.coursera.org/learn/data-analysis-with-r?specialization=applied-data-science-r,"The R programming language is purpose-built for data analysis. R is the key that opens the door between the problems that you want to solve with data and the answers you need to meet your objectives.  This course starts with a question and then walks you through the process of answering it through data. You will first learn important techniques for preparing (or wrangling) your data for analysis. You will then learn how to gain a better understanding of your data through exploratory data analysis, helping you to summarize your data and identify relevant relationships between variables that can lead to insights. Once your data is ready to analyze, you will learn how to develop your model and evaluate and tune its performance. By following this process, you can be sure that your data analysis performs to the standards that you have set, and you can have confidence in the results. "
COURSE077,Data Visualization with R,"SKILL035,SKILL008,SKILL045,SKILL005",9 hours,https://www.coursera.org/learn/data-visualization-r?specialization=applied-data-science-r,"In this course, you will learn the Grammar of Graphics, a system for describing and building graphs, and how the ggplot2 data visualization package for R applies this concept to basic bar charts, histograms, pie charts, scatter plots, line plots, and box plots. You will also learn how to further customize your charts and plots using themes and other techniques. You will then learn how to use another data visualization package for R called Leaflet to create map plots, a unique way to plot data based on geolocation data. Finally, you will be introduced to creating interactive dashboards using the R Shiny package. You will learn how to create and customize Shiny apps, alter the appearance of the apps by adding HTML and image components, and deploy your interactive data apps on the web."
COURSE078,SQL for Data Science,"SKILL035,SKILL008,SKILL016,SKILL010",14 hours,https://www.coursera.org/learn/sql-for-data-science?specialization=learn-sql-basics-data-science,"As data collection has increased exponentially, so has the need for people skilled at using and interacting with data; to be able to think critically, and provide insights to make better decisions and optimize their businesses. This is a data scientist, “part mathematician, part computer scientist, and part trend spotter” (SAS Institute, Inc.). According to Glassdoor, being a data scientist is the best job in America; with a median base salary of $110,000 and thousands of job openings at a time. The skills necessary to be a good data scientist include being able to retrieve and work with data, and to do that you need to be well versed in SQL, the standard language for communicating with database systems."
COURSE079,"Data Wrangling, Analysis and AB Testing with SQL","SKILL008,SKILL101,SKILL010",16 hours,https://www.coursera.org/learn/data-wrangling-analysis-abtesting?specialization=learn-sql-basics-data-science,"This course allows you to apply the SQL skills taught in “SQL for Data Science” to four increasingly complex and authentic data science inquiry case studies. We'll learn how to convert timestamps of all types to common formats and perform date/time calculations. We'll select and perform the optimal JOIN for a data science inquiry and clean data within an analysis dataset by deduping, running quality checks, backfilling, and handling nulls. We'll learn how to segment and analyze data per segment using windowing functions and use case statements to execute conditional logic to address a data science inquiry. We'll also describe how to convert a query into a scheduled job and how to insert data into a date partition. Finally, given a predictive analysis need, we'll engineer a feature from raw data using the tools and skills we've built over the course. The real-world application of these skills will give you the framework for performing the analysis of an AB test."
COURSE080,Distributed Computing with Spark SQL,"SKILL035,SKILL055,SKILL010",14 hours,https://www.coursera.org/learn/spark-sql?specialization=learn-sql-basics-data-science,"This course is all about big data. It’s for students with SQL experience that want to take the next step on their data journey by learning distributed computing using Apache Spark. Students will gain a thorough understanding of this open-source standard for working with large datasets. Students will gain an understanding of the fundamentals of data analysis using SQL on Spark, setting the foundation for how to combine data with advanced analytics at scale and in production environments. The four modules build on one another and by the end of the course you will understand: the Spark architecture, queries within Spark, common ways to optimize Spark SQL, and how to build reliable data pipelines. "
COURSE081,SQL for Data Science Capstone Project,"SKILL008,SKILL010,SKILL066",35 hours,https://www.coursera.org/learn/sql-data-science-capstone?specialization=learn-sql-basics-data-science,Data science is a dynamic and growing career field that demands knowledge and skills-based in SQL to be successful. This course is designed to provide you with a solid foundation in applying SQL skills to analyze data and solve real business problems.
COURSE082,Introduction to Machine Learning in Production,"SKILL116,SKILL117",10 hours,https://www.coursera.org/learn/introduction-to-machine-learning-in-production?specialization=machine-learning-engineering-for-production-mlops,"In the first course of Machine Learning Engineering for Production Specialization, you will identify the various components and design an ML production system end-to-end: project scoping, data needs, modeling strategies, and deployment constraints and requirements; and learn how to establish a model baseline, address concept drift, and prototype the process for developing, deploying, and continuously improving a productionized ML application."
COURSE083,Machine Learning Data Lifecycle in Production ,"SKILL118,SKILL029",20 hours,https://www.coursera.org/learn/machine-learning-data-lifecycle-in-production?specialization=machine-learning-engineering-for-production-mlops,"In the second course of Machine Learning Engineering for Production Specialization, you will build data pipelines by gathering, cleaning, and validating datasets and assessing data quality; implement feature engineering, transformation, and selection with TensorFlow Extended and get the most predictive power out of your data; and establish the data lifecycle by leveraging data lineage and provenance metadata tools and follow data evolution with enterprise data schemas."
COURSE084,Machine Learning Modeling Pipelines in Production,"SKILL062,SKILL025",25 hours,https://www.coursera.org/learn/machine-learning-modeling-pipelines-in-production?specialization=machine-learning-engineering-for-production-mlops,"In the third course of Machine Learning Engineering for Production Specialization, you will build models for different serving environments; implement tools and techniques to effectively manage your modeling resources and best serve offline and online inference requests; and use analytics tools and performance metrics to address model fairness, explainability issues, and mitigate bottlenecks."
COURSE085,Deploying Machine Learning Models in Production,"SKILL030,SKILL046",6 hours,https://www.coursera.org/learn/deploying-machine-learning-models-in-production?specialization=machine-learning-engineering-for-production-mlops,"In the fourth course of Machine Learning Engineering for Production Specialization, you will deliver deployment pipelines by productionizing, scaling, and monitoring model serving that require different infrastructure; establish procedures to mitigate model decay and performance drops; and establish best practices and apply progressive delivery techniques to maintain and monitor a continuously operating production system."
COURSE086,Discrete Math and Analyzing Social Graphs,"SKILL002,SKILL124",20 hours,https://www.coursera.org/learn/discrete-math-and-analyzing-social-graphs?specialization=mathematics-for-data-science,The main goal of this course is to introduce topics in Discrete Mathematics relevant to Data Analysis.
COURSE087,Calculus and Optimization for Machine Learning,"SKILL075,SKILL013",32 hours,https://www.coursera.org/learn/calculus-and-optimization-for-machine-learning?specialization=mathematics-for-data-science,Hi! Our course aims to provide necessary background in Calculus sufficient for up-following Data Science courses. 
COURSE088,First Steps in Linear Algebra for Machine Learning,"SKILL075,SKILL013",21 hours,https://www.coursera.org/learn/first-steps-in-linear-algebra-for-machine-learning?specialization=mathematics-for-data-science,"The main goal of the course is to explain the main concepts of linear algebra that are used in data analysis and machine learning. Another goal is to improve the student’s practical skills of using linear algebra methods in machine learning and data analysis. You will learn the fundamentals of working with data in vector and matrix form, acquire skills for solving systems of linear algebraic equations and finding the basic matrix decompositions and general understanding of their applicability."
COURSE089,"Probability Theory, Statistics and Exploratory Data Analysis","SKILL052,SKILL066",22 hours,https://www.coursera.org/learn/probability-theory-statistics?specialization=mathematics-for-data-science,"Exploration of Data Science requires certain background in probability and statistics. This course introduces you to the necessary sections of probability theory and statistics, guiding you from the very basics all way up to the level required for jump starting your ascent in Data Science. "
COURSE090,Introduction to HTML5,"SKILL125,SKILL126,SKILL127",13 hours,https://www.coursera.org/learn/html,"This course will appeal to a wide variety of people, but specifically those who would like a step-by-step description of the basics. There are no prerequisites for this course and it is assumed that students have no prior programming skills or IT experience. The course will culminate in a small final project that will require the completion of a very simple page with links and images. The focus of this course is on the basics, not appearance. You can see a sample final page at http://intro-webdesign.com/html5-plain.html.  "
COURSE091,Interactivity with JavaScript,"SKILL128,SKILL129",9 hours,https://www.coursera.org/learn/javascript,"This course will introduce you to the basics of the JavaScript language.  We will cover concepts such as variables, looping, functions, and even a little bit about debugging tools.  You will understand how the Document Object Model (DOM) is used by JavaScript to identify and modify specific parts of your page.  After the course, learners will be able to react to DOM Events and dynamically alter the contents and style of their page.   The class will culminate in a  final project - the creation of an interactive HTML5 form that accepts and verifies input."
COURSE092,Introduction to CSS3,"SKILL125,SKILL130",11 hours,https://www.coursera.org/learn/introcss," This course will show you the basics of Cascading Style Sheets (CSS3).  The emphasis will be on learning how to write CSS rules, how to test code, and how to establish good programming habits.  "
